
           Total tracked memory (including duplicates, so too high) = 130769712
Unity  components of total size: 86970323
    Type: System.Collections.Generic.List`1[[DG.Tweening.Core.ABSSequentiable, DOTween, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[UnityEngine.EventSystems.PointerInputModule+ButtonState, UnityEngine.UI, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[UnityEditor.InspectorWindow, UnityEditor, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[UnityEngine.EventSystems.IEventSystemHandler, UnityEngine.UI, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[UnityEngine.CanvasGroup, UnityEngine, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[UnityEditor.GameViewSize, UnityEditor, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[UnityEngine.UI.GeUIParticle, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[UnityEditor.Modules.IPlatformSupportModule, UnityEditor, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[UnityEngine.Events.BaseInvokableCall, UnityEngine, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[UnityEditor.SavedFilter, UnityEditor, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[UnityEngine.UI.ICanvasElement, UnityEngine.UI, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[UnityEngine.UI.GeUIEffectGeo, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[UnityEditor.SnapGuide, UnityEditor, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[GameClient.GameBindSystem+soundBindings, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[UnityEditor.ProjectBrowser, UnityEditor, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[GameClient.GameBindSystem+msgBindings, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[GameClient.GameBindSystem+protoBindings, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[UnityEngine.RuntimeInitializeClassInfo, UnityEditor, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[BehaviorDesigner.Runtime.SharedVariable, BehaviorDesignerRuntime, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[NPOI.HSSF.UserModel.HeaderFooter+Field, NPOI, Version=2.2.0.0, Culture=neutral, PublicKeyToken=0df73ec7942b34e1]] of size 36
    Type: System.Collections.Generic.List`1[[System.Collections.IEnumerator, mscorlib, Version=2.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089]] of size 36
    Type: System.Collections.Generic.List`1[[GameClient.GameBindSystem+controlBindings, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[UnityEngine.UI.Graphic, UnityEngine.UI, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[UnityEditor.GameView, UnityEditor, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[GameClient.GameBindSystem+objectBindings, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[UnityEngine.GameObject, UnityEngine, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[UnityEditor.AnimationWindow, UnityEditor, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[GameClient.GameBindSystem+eventBindings, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[UnityEditor.AnimEditor, UnityEditor, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[UnityEngine.UI.Dropdown+DropdownItem, UnityEngine.UI, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[SpriteAssetInfor, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[UnityEngine.UI.Dropdown+OptionData, UnityEngine.UI, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[UnityEngine.GUILayoutEntry, UnityEngine, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[GeMeshRenderManager+GeMeshObjectDesc, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[BeAction, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[UnityEngine.Rigidbody2D, UnityEngine, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[GeMeshRenderManager+GeMeshRenderDesc, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[ComCommonBind, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[CResPreloader+CResDesc, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[BehaviorDesigner.Runtime.BehaviorManager+BehaviorTree+ConditionalReevaluate, BehaviorDesignerRuntime, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[UnityEngine.UI.Toggle, UnityEngine.UI, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[UnityEngine.Networking.NetworkClient, UnityEngine.Networking, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[LinkParse+LinkInfo, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[UnityEngine.Transform, UnityEngine, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[AudioManager+AudioInst, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[UnityEngine.UI.Text, UnityEngine.UI, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[UnityEditor.SearchableEditorWindow, UnityEditor, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[UnityEngine.PropertyAttribute, UnityEngine, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[UnityEditor.SceneViewOverlay+OverlayWindow, UnityEditor, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[UnityEditor.FrameDebuggerWindow, UnityEditor, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[Unity.DataContract.IEditorModule, Unity.DataContract, Version=1.0.2.0, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[UnityEditor.ProfilerWindow, UnityEditor, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[ActiveVarBinder, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[DG.Tweening.Tween, DOTween, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[InvokeMethod+TaskManager+Invoke, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[System.Reflection.Assembly, mscorlib, Version=2.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089]] of size 36
    Type: System.Collections.Generic.List`1[[DG.Tweening.TweenCallback, DOTween, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[UnityEngine.Networking.PlayerController, UnityEngine.Networking, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[UnityEditor.Scripting.Compilers.SupportedLanguage, UnityEditor, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[Battle.DungeonMonster, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[UnityEngine.Events.PersistentCall, UnityEngine, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[UnityEngine.Object, UnityEngine, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[GeAfterImageMnanger+GeSnapModelDesc, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[System.Reflection.FieldInfo, mscorlib, Version=2.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089]] of size 36
    Type: System.Collections.Generic.List`1[[GeAttach, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Security.Permissions.StrongNameIdentityPermission of size 36
    Type: System.Collections.Generic.List`1[[UnityEditor.UI.SelectableEditor, UnityEditor.UI, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[GeAttach+PhaseMatSurfDesc, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[AssetInst, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[System.Configuration.ConfigurationProperty, System.Configuration, Version=2.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a]] of size 36
    Type: System.Collections.Generic.List`1[[GeAnimatManager+GeAnimatCache, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[System.Net.NetworkInformation.GatewayIPAddressInformation, System, Version=2.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089]] of size 36
    Type: System.Collections.Generic.List`1[[System.Net.IPAddress, System, Version=2.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089]] of size 36
    Type: System.Collections.Generic.List`1[[GeAnimatManager+GeAnimatDesc, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[System.CodeDom.Compiler.CompilerInfo, System, Version=2.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089]] of size 36
    Type: System.Collections.Generic.List`1[[System.Collections.Generic.RBTree+Node, System, Version=2.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089]] of size 36
    Type: System.Collections.Generic.List`1[[System.Collections.Generic.Stack`1[[System.Int32, mscorlib, Version=2.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089]], System, Version=2.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089]] of size 36
    Type: System.Collections.Generic.List`1[[PostLoadCommand, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[GameClient.BeFollowPet, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[GameClient.RoleRetinueConfig, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[GameClient.RetinueConfig, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[System.Collections.Generic.Dictionary`2[[System.String, mscorlib, Version=2.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089],[System.Int32, mscorlib, Version=2.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089]], mscorlib, Version=2.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089]] of size 36
    Type: System.Collections.Generic.List`1[[NPOI.HSSF.Record.TableRecord, NPOI, Version=2.2.0.0, Culture=neutral, PublicKeyToken=0df73ec7942b34e1]] of size 36
    Type: System.Collections.Generic.List`1[[System.Collections.Generic.List`1[[System.Int32, mscorlib, Version=2.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089]], mscorlib, Version=2.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089]] of size 36
    Type: System.Collections.Generic.List`1[[GameClient.ClientSystemTown+SceneNode, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[GameClient.BeTownDoor, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[GeEffectEx, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[GeActorEx+MatSurfObjDesc, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[IHPBar, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[IDungeonCharactorBar, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[NPOI.SS.Format.CellNumberFormatter+Special, NPOI, Version=2.2.0.0, Culture=neutral, PublicKeyToken=0df73ec7942b34e1]] of size 36
    Type: System.Collections.Generic.List`1[[DelayCallUnit, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[GeActorEx, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[UnityEditor.TreeViewItem, UnityEditor, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[UnityEditor.GameObjectTreeViewItem, UnityEditor, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[GameClient.BeTownNPC, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[GeAvatar+GeAvatarDesc, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[UnityEditor.ContainerWindow, UnityEditor, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[UnityEngine.Animation, UnityEngine, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[UnityEditor.EditorWindow, UnityEditor, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[UnityEditor.ObjectListArea+Group, UnityEditor, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[BehaviorDesigner.Runtime.Tasks.Task, BehaviorDesignerRuntime, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null]] of size 36
